sample_id,source_mat_id,Extraction Number,imos_project,nrs_sample_code,samp_size,sample_volume_notes,sample_integrity_warnings,notes,dna_concentration_submitter,dna_concentration_submitter_meth,absorbance_260_280_ratio_submitter,absorbance_260_280_ratio_submitter_meth,QC_flag
102.100.100/405134,102.100.100/405134,997,NRS,DAR20180731_0330_16,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/141123,102.100.100/141123,998,NRS,DAR20180731_0630_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141161,102.100.100/141161,1000,NRS,DAR20180731_0630_16,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/139716,102.100.100/139716,521,NRS,DAR20181030_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141162,102.100.100/141162,1006,NRS,DAR20181030_15,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141124,102.100.100/141124,869,NRS,DAR20190213_2130_0,0.5,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141163,102.100.100/141163,871,NRS,DAR20190213_2130_17.2,0.5,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141125,102.100.100/141125,872,NRS,DAR20190214_0030_0,0.5,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141164,102.100.100/141164,874,NRS,DAR20190214_0030_19.5,0.6,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/405131,102.100.100/405131,875,NRS,DAR20190214_0330_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405135,102.100.100/405135,877,NRS,DAR20190214_0330_19,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405132,102.100.100/405132,878,NRS,DAR20190214_0630_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405136,102.100.100/405136,880,NRS,DAR20190214_0630_17,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/139718,102.100.100/139718,622,NRS,DAR20190529_0,0.725,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141165,102.100.100/141165,882,NRS,DAR20190529_14,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
